iter	Passed	Remaining
0	57	57435
1	57	28863
2	58	19328
3	58	14567
4	58	11697
5	59	9795
6	59	8430
7	59	7406
8	60	6607
9	60	5972
10	60	5458
11	61	5024
12	61	4657
13	61	4345
14	61	4070
15	62	3831
16	62	3620
17	62	3430
18	63	3260
19	63	3111
20	63	2974
21	64	2848
22	64	2734
23	64	2631
24	65	2537
25	65	2449
26	65	2367
27	66	2291
28	66	2221
29	66	2155
30	66	2092
31	67	2035
32	67	1981
33	67	1931
34	68	1882
35	68	1838
36	69	1795
37	69	1753
38	69	1713
39	69	1675
40	70	1639
41	70	1605
42	70	1572
43	70	1542
44	71	1513
45	71	1485
46	71	1458
47	72	1432
48	72	1408
49	72	1383
50	73	1360
51	73	1339
52	73	1317
53	74	1296
54	74	1276
55	74	1257
56	74	1239
57	75	1221
58	75	1203
59	75	1187
60	76	1171
61	76	1156
62	76	1141
63	77	1127
64	77	1113
65	77	1100
66	78	1086
67	78	1074
68	78	1061
69	79	1049
70	79	1037
71	79	1025
72	79	1014
73	80	1003
74	80	992
75	80	981
76	81	971
77	81	961
78	81	951
79	81	941
80	82	932
81	82	923
82	82	912
83	82	903
84	83	895
85	83	887
86	83	878
87	84	870
88	84	863
89	84	855
90	84	848
91	85	841
92	85	833
93	85	827
94	86	820
95	86	813
96	86	806
97	86	800
98	87	794
99	87	788
100	87	782
101	88	776
102	88	771
103	88	765
104	89	759
105	89	754
106	89	748
107	89	743
108	90	738
109	90	732
110	90	727
111	91	722
112	91	717
113	91	712
114	92	708
115	92	704
116	92	698
117	92	694
118	93	690
119	93	685
120	93	681
121	94	676
122	94	672
123	94	668
124	94	664
125	95	660
126	95	656
127	95	652
128	96	648
129	96	644
130	96	640
131	96	637
132	97	633
133	97	629
134	97	626
135	98	622
136	98	619
137	98	616
138	98	613
139	99	609
140	99	606
141	99	602
142	100	599
143	100	596
144	100	593
145	100	590
146	101	587
147	101	585
148	101	582
149	102	579
150	102	576
151	102	573
152	103	570
153	103	567
154	103	564
155	103	561
156	104	559
157	104	556
158	104	553
159	105	551
160	105	548
161	105	545
162	105	543
163	106	540
164	106	538
165	106	535
166	106	533
167	107	531
168	107	529
169	107	526
170	108	524
171	108	522
172	108	519
173	109	517
174	109	515
175	109	513
176	109	511
177	110	509
178	110	507
179	110	505
180	111	503
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	113	491
